Date,Region,New_Tests,Total_Tests,Avg_Testing_Rate,Positivity,Turn_Around,Tests_epi_week
2020-03-17,Northern,183,557,63.42857142857143,0.45,103,495
2020-03-17,Unknown,0,0,NA,0,0,0
2020-03-17,Vancouver Coastal,1080,7158,719.4285714285714,2.66,55,5489
2020-03-17,Vancouver Island,373,2338,245.14285714285714,1.75,7,1850
2020-03-18,BC,1146,20921,1944.857142857143,1.97,31,14272
2020-03-18,Fraser,258,7881,689.2857142857143,1.6,31,4688
2020-03-18,Interior,45,2124,213.57142857142858,0.2,103,1748
2020-03-18,Northern,56,613,63,0.23,67,495
2020-03-18,Unknown,1,21,1.5714285714285714,0,7,2
2020-03-18,Vancouver Coastal,538,7696,730.8571428571429,2.87,31,5489
2020-03-18,Vancouver Island,248,2586,247.57142857142858,2.31,7,1850
2020-03-19,BC,1331,22252,1971,2.23,27.1,14272
2020-03-19,Fraser,395,8276,699.2857142857143,1.92,45.2,4688
2020-03-19,Interior,18,2142,189.71428571428572,0.53,77.8,1748
2020-03-19,Northern,57,670,68.28571428571429,0.21,78.2,495
2020-03-19,Unknown,0,0,NA,0,0,0
2020-03-19,Vancouver Coastal,805,8501,787.5714285714286,2.99,23,5489
2020-03-19,Vancouver Island,56,2642,225.57142857142858,2.53,7,1850
2020-03-20,BC,1387,23639,1958.5714285714287,2.6,31,14272
2020-03-20,Fraser,349,8625,679.1428571428571,2.59,47.2,4688
2020-03-20,Interior,160,2302,195.42857142857142,0.8,71.3,1748
2020-03-20,Northern,11,681,66.85714285714286,0.21,76.3,495
2020-03-20,Unknown,0,0,NA,0,0,0
2020-03-20,Vancouver Coastal,591,9092,783.2857142857143,3.23,18,5489
2020-03-20,Vancouver Island,276,2918,233.57142857142858,2.75,31,1850
2020-03-21,BC,2113,25752,2038.857142857143,3.11,50.1,14272
2020-03-21,Fraser,491,9116,669.7142857142857,3.48,54.1,4688
2020-03-21,Interior,633,2935,249.71428571428572,1.2,79,1748
2020-03-21,Northern,82,763,70.71428571428571,0.81,81.1,495
2020-03-21,Unknown,0,0,NA,0,0,0
2020-03-21,Vancouver Coastal,516,9608,784.1428571428571,3.73,21,5489
2020-03-21,Vancouver Island,391,3309,264.2857142857143,2.76,31,1850
2020-03-22,BC,1946,27698,2063,3.26,53.7,15059
2020-03-22,Fraser,707,9823,683.5714285714286,3.49,62.3,5534
2020-03-22,Interior,352,3287,270.42857142857144,1.53,55,2897
2020-03-22,Northern,127,890,83.85714285714286,0.51,102.3,694
2020-03-22,Unknown,0,0,NA,0,0,0
2020-03-22,Vancouver Coastal,460,10068,741,4.14,22.9,3912
2020-03-22,Vancouver Island,300,3609,283.85714285714283,2.87,31,2021
2020-03-23,BC,1892,29590,1836.5714285714287,3.93,45.1,15059
2020-03-23,Fraser,929,10752,599,4.44,57.1,5534
2020-03-23,Interior,115,3402,237.71428571428572,2.16,46.4,2897
2020-03-23,Northern,50,940,80.85714285714286,0.88,111.8,694
2020-03-23,Unknown,0,0,NA,0,0,0
2020-03-23,Vancouver Coastal,591,10659,654.4285714285714,4.76,23,3912
2020-03-23,Vancouver Island,207,3816,264.42857142857144,3.24,31,2021
2020-03-24,BC,2418,32008,1747.5714285714287,4.19,31,15059
2020-03-24,Fraser,752,11504,554.4285714285714,4.64,30.3,5534
2020-03-24,Interior,529,3931,264.57142857142856,2.81,60.2,2897
2020-03-24,Northern,18,958,57.285714285714285,1.75,115.3,694
2020-03-24,Unknown,1,22,1.5714285714285714,0,8.9,1
2020-03-24,Vancouver Coastal,736,11395,605.2857142857143,5.1,19.9,3912
2020-03-24,Vancouver Island,382,4198,265.7142857142857,3.06,31,2021
2020-03-25,BC,2346,34354,1919,4.15,36.6,15059
2020-03-25,Fraser,1085,12589,672.5714285714286,4.38,42.6,5534
2020-03-25,Interior,335,4266,306,2.85,50.4,2897
2020-03-25,Northern,131,1089,68,1.68,55,694
2020-03-25,Unknown,0,0,NA,0,0,0
2020-03-25,Vancouver Coastal,733,12128,633.1428571428571,5.28,20.5,3912
2020-03-25,Vancouver Island,62,4260,239.14285714285714,2.87,113.8,2021
2020-03-26,BC,2517,36871,2088.4285714285716,4.1,31,15059
2020-03-26,Fraser,668,13257,711.5714285714286,4.52,28.8,5534
2020-03-26,Interior,749,5015,410.42857142857144,2.68,79,2897
2020-03-26,Northern,157,1246,82.28571428571429,2.08,79,694
2020-03-26,Unknown,0,0,NA,0,0,0
