"REF_DATE","GEO","DGUID","Gender","Age group","Transmission","Hospitalization","Death","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by transmission","Not stated, hospitalized","Not stated, deceased","Number","223","units","0","v1160929439","1.1.2.1.5.4","10427","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Community exposures","Total, by hospitalization status","Total, by death status","Number","223","units","0","v1160929440","1.1.2.2.1.1","49708","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Community exposures","Total, by hospitalization status","Yes, deceased","Number","223","units","0","v1160929441","1.1.2.2.1.2","0","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Community exposures","Total, by hospitalization status","No, not deceased","Number","223","units","0","v1160929442","1.1.2.2.1.3","35896","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Community exposures","Total, by hospitalization status","Not stated, deceased","Number","223","units","0","v1160929443","1.1.2.2.1.4","13812","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Community exposures","Yes, hospitalized and ICU admitted","Total, by death status","Number","223","units","0","v1160929444","1.1.2.2.2.1","32","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Community exposures","Yes, hospitalized and ICU admitted","Yes, deceased","Number","223","units","0","v1160929445","1.1.2.2.2.2","0","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Community exposures","Yes, hospitalized and ICU admitted","No, not deceased","Number","223","units","0","v1160929446","1.1.2.2.2.3","23","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Community exposures","Yes, hospitalized and ICU admitted","Not stated, deceased","Number","223","units","0","v1160929447","1.1.2.2.2.4","9","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Community exposures","Yes, hospitalized but not ICU admitted","Total, by death status","Number","223","units","0","v1160929448","1.1.2.2.3.1","321","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Community exposures","Yes, hospitalized but not ICU admitted","Yes, deceased","Number","223","units","0","v1160929449","1.1.2.2.3.2","0","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Community exposures","Yes, hospitalized but not ICU admitted","No, not deceased","Number","223","units","0","v1160929450","1.1.2.2.3.3","242","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Community exposures","Yes, hospitalized but not ICU admitted","Not stated, deceased","Number","223","units","0","v1160929451","1.1.2.2.3.4","79","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Community exposures","Not hospitalized","Total, by death status","Number","223","units","0","v1160929452","1.1.2.2.4.1","30403","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Community exposures","Not hospitalized","Yes, deceased","Number","223","units","0","v1160929453","1.1.2.2.4.2","0","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Community exposures","Not hospitalized","No, not deceased","Number","223","units","0","v1160929454","1.1.2.2.4.3","26684","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Community exposures","Not hospitalized","Not stated, deceased","Number","223","units","0","v1160929455","1.1.2.2.4.4","3719","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Community exposures","Not stated, hospitalized","Total, by death status","Number","223","units","0","v1160929456","1.1.2.2.5.1","18952","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Community exposures","Not stated, hospitalized","Yes, deceased","Number","223","units","0","v1160929457","1.1.2.2.5.2","0","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Community exposures","Not stated, hospitalized","No, not deceased","Number","223","units","0","v1160929458","1.1.2.2.5.3","8947","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Community exposures","Not stated, hospitalized","Not stated, deceased","Number","223","units","0","v1160929459","1.1.2.2.5.4","10005","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Travel exposures","Total, by hospitalization status","Total, by death status","Number","223","units","0","v1160929460","1.1.2.3.1.1","226","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Travel exposures","Total, by hospitalization status","Yes, deceased","Number","223","units","0","v1160929461","1.1.2.3.1.2","0","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Travel exposures","Total, by hospitalization status","No, not deceased","Number","223","units","0","v1160929462","1.1.2.3.1.3","210","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Travel exposures","Total, by hospitalization status","Not stated, deceased","Number","223","units","0","v1160929463","1.1.2.3.1.4","16","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Travel exposures","Yes, hospitalized and ICU admitted","Total, by death status","Number","223","units","0","v1160929464","1.1.2.3.2.1","0","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Travel exposures","Yes, hospitalized and ICU admitted","Yes, deceased","Number","223","units","0","v1160929465","1.1.2.3.2.2","0","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Travel exposures","Yes, hospitalized and ICU admitted","No, not deceased","Number","223","units","0","v1160929466","1.1.2.3.2.3","0","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Travel exposures","Yes, hospitalized and ICU admitted","Not stated, deceased","Number","223","units","0","v1160929467","1.1.2.3.2.4","0","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Travel exposures","Yes, hospitalized but not ICU admitted","Total, by death status","Number","223","units","0","v1160929468","1.1.2.3.3.1","2","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Travel exposures","Yes, hospitalized but not ICU admitted","Yes, deceased","Number","223","units","0","v1160929469","1.1.2.3.3.2","0","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Travel exposures","Yes, hospitalized but not ICU admitted","No, not deceased","Number","223","units","0","v1160929470","1.1.2.3.3.3","2","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Travel exposures","Yes, hospitalized but not ICU admitted","Not stated, deceased","Number","223","units","0","v1160929471","1.1.2.3.3.4","0","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Travel exposures","Not hospitalized","Total, by death status","Number","223","units","0","v1160929472","1.1.2.3.4.1","214","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Travel exposures","Not hospitalized","Yes, deceased","Number","223","units","0","v1160929473","1.1.2.3.4.2","0","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Travel exposures","Not hospitalized","No, not deceased","Number","223","units","0","v1160929474","1.1.2.3.4.3","198","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Travel exposures","Not hospitalized","Not stated, deceased","Number","223","units","0","v1160929475","1.1.2.3.4.4","16","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Travel exposures","Not stated, hospitalized","Total, by death status","Number","223","units","0","v1160929476","1.1.2.3.5.1","10","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Travel exposures","Not stated, hospitalized","Yes, deceased","Number","223","units","0","v1160929477","1.1.2.3.5.2","0","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Travel exposures","Not stated, hospitalized","No, not deceased","Number","223","units","0","v1160929478","1.1.2.3.5.3","10","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Travel exposures","Not stated, hospitalized","Not stated, deceased","Number","223","units","0","v1160929479","1.1.2.3.5.4","0","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Not stated, transmission","Total, by hospitalization status","Total, by death status","Number","223","units","0","v1160929480","1.1.2.4.1.1","30944","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Not stated, transmission","Total, by hospitalization status","Yes, deceased","Number","223","units","0","v1160929481","1.1.2.4.1.2","0","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Not stated, transmission","Total, by hospitalization status","No, not deceased","Number","223","units","0","v1160929482","1.1.2.4.1.3","26894","","","","0"
