"Reported_Date","Region","Institution","Total_Active_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Resolved_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Positive_Released_Inmate_Cases_As_Of_Reported_Date"
"2020-11-02","Toronto","Toronto South Detention Centre",,16,8
"2020-11-02","Central","Milton-Vanier Centre For Women",,2,4
"2020-11-02","Western","Elgin-Middlesex Det. Centre",,2,
"2020-11-02","Central","Hamilton Wentworth Det Centre",,1,1
"2020-11-02","Eastern","Central East Correctional Centre",,1,2
"2020-11-02","Central","Niagara Detention Centre",,1,1
"2020-11-02","Western","Central North Correctional Centre",,2,2
"2020-11-02","Northern","Kenora Jail",,2,
"2020-11-02","Western","Ottawa Carleton Detention Centre",,2,1
"2020-11-02","Western","South West Detention Center",,2,
"2020-11-02","Toronto","Toronto East Detention Centre",,1,
"2020-11-02","Northern","Algoma Treatment and Remand Centre",,1,
"2020-11-02","Western","Sarnia Jail",,1,
"2020-11-03","Northern","Monteith Correctional Centre",,1,
"2020-11-03","Central","Maplehurst Correctional Complex",,7,3
"2020-11-03","Central","Ontario Correctional Institute",,89,2
"2020-11-03","Toronto","Toronto South Detention Centre",,16,8
"2020-11-03","Central","Milton-Vanier Centre For Women",,2,4
"2020-11-03","Western","Elgin-Middlesex Det. Centre",,2,
"2020-11-03","Central","Hamilton Wentworth Det Centre",,1,1
"2020-11-03","Eastern","Central East Correctional Centre",,1,2
"2020-11-03","Central","Niagara Detention Centre",,1,1
"2020-11-03","Western","Central North Correctional Centre",,2,2
"2020-11-03","Northern","Kenora Jail",,2,
"2020-11-03","Western","Ottawa Carleton Detention Centre",,2,1
"2020-11-03","Western","South West Detention Center",,2,
"2020-11-03","Toronto","Toronto East Detention Centre",,1,
"2020-11-03","Northern","Algoma Treatment and Remand Centre",,1,
"2020-11-03","Western","Sarnia Jail",,1,
"2020-11-04","Northern","Monteith Correctional Centre",,1,
"2020-11-04","Central","Maplehurst Correctional Complex",1,7,3
"2020-11-04","Central","Ontario Correctional Institute",,89,2
"2020-11-04","Toronto","Toronto South Detention Centre",,16,8
"2020-11-04","Central","Milton-Vanier Centre For Women",,2,4
"2020-11-04","Western","Elgin-Middlesex Det. Centre",,2,
"2020-11-04","Central","Hamilton Wentworth Det Centre",,1,1
"2020-11-04","Eastern","Central East Correctional Centre",,1,2
"2020-11-04","Central","Niagara Detention Centre",,1,1
"2020-11-04","Western","Central North Correctional Centre",,2,2
"2020-11-04","Northern","Kenora Jail",,2,
"2020-11-04","Western","Ottawa Carleton Detention Centre",,2,1
"2020-11-04","Western","South West Detention Center",,2,
"2020-11-04","Toronto","Toronto East Detention Centre",,1,
"2020-11-04","Northern","Algoma Treatment and Remand Centre",,1,
"2020-11-04","Western","Sarnia Jail",,1,
"2020-11-05","Northern","Monteith Correctional Centre",,1,
"2020-11-05","Central","Maplehurst Correctional Complex",1,7,3
"2020-11-05","Central","Ontario Correctional Institute",,89,2
"2020-11-05","Toronto","Toronto South Detention Centre",,16,8
"2020-11-05","Central","Milton-Vanier Centre For Women",,2,4
"2020-11-05","Western","Elgin-Middlesex Det. Centre",,2,
"2020-11-05","Central","Hamilton Wentworth Det Centre",,1,1
"2020-11-05","Eastern","Central East Correctional Centre",,1,2
"2020-11-05","Central","Niagara Detention Centre",,1,1
"2020-11-05","Western","Central North Correctional Centre",,2,2
"2020-11-05","Northern","Kenora Jail",,2,
"2020-11-05","Western","Ottawa Carleton Detention Centre",,2,1
"2020-11-05","Western","South West Detention Center",,2,
"2020-11-05","Toronto","Toronto East Detention Centre",,1,
"2020-11-05","Northern","Algoma Treatment and Remand Centre",,1,
"2020-11-05","Western","Sarnia Jail",,1,
"2020-11-08","Northern","Monteith Correctional Centre",,1,
"2020-11-08","Central","Maplehurst Correctional Complex",1,7,3
"2020-11-08","Central","Ontario Correctional Institute",,89,2
"2020-11-08","Toronto","Toronto South Detention Centre",,16,8
"2020-11-08","Central","Milton-Vanier Centre For Women",,2,4
"2020-11-08","Western","Elgin-Middlesex Det. Centre",,2,
"2020-11-08","Central","Hamilton Wentworth Det Centre",,1,1
"2020-11-08","Eastern","Central East Correctional Centre",,1,2
"2020-11-08","Central","Niagara Detention Centre",,1,1
"2020-11-08","Western","Central North Correctional Centre",,2,2
"2020-11-08","Northern","Kenora Jail",,2,
"2020-11-08","Western","Ottawa Carleton Detention Centre",,2,1
"2020-11-08","Western","South West Detention Center",,2,
"2020-11-08","Toronto","Toronto East Detention Centre",,1,
"2020-11-08","Northern","Algoma Treatment and Remand Centre",,1,
"2020-11-08","Western","Sarnia Jail",,1,
"2020-11-09","Northern","Monteith Correctional Centre",,1,
"2020-11-09","Central","Maplehurst Correctional Complex",1,7,3
"2020-11-09","Central","Ontario Correctional Institute",,89,2
"2020-11-09","Toronto","Toronto South Detention Centre",,16,8
"2020-11-09","Central","Milton-Vanier Centre For Women",,2,4
"2020-11-09","Western","Elgin-Middlesex Det. Centre",,2,
"2020-11-09","Central","Hamilton Wentworth Det Centre",,1,1
"2020-11-09","Eastern","Central East Correctional Centre",,1,2
"2020-11-09","Central","Niagara Detention Centre",,1,1
"2020-11-09","Western","Central North Correctional Centre",,2,2
"2020-11-09","Northern","Kenora Jail",,2,
"2020-11-09","Western","Ottawa Carleton Detention Centre",,2,1
"2020-11-09","Western","South West Detention Center",,2,
"2020-11-09","Toronto","Toronto East Detention Centre",,1,
"2020-11-09","Northern","Algoma Treatment and Remand Centre",,1,
"2020-11-09","Western","Sarnia Jail",,1,
"2020-11-11","Northern","Monteith Correctional Centre",,1,
"2020-11-11","Central","Maplehurst Correctional Complex",2,7,3
"2020-11-11","Central","Ontario Correctional Institute",,89,2
"2020-11-11","Toronto","Toronto South Detention Centre",1,16,8
"2020-11-11","Central","Milton-Vanier Centre For Women",,2,4
"2020-11-11","Western","Elgin-Middlesex Det. Centre",,2,
"2020-11-11","Central","Hamilton Wentworth Det Centre",,1,1
"2020-11-11","Eastern","Central East Correctional Centre",,1,2
"2020-11-11","Central","Niagara Detention Centre",,1,1
"2020-11-11","Western","Central North Correctional Centre",,2,2
"2020-11-11","Northern","Kenora Jail",,2,
"2020-11-11","Western","Ottawa Carleton Detention Centre",,2,1
"2020-11-11","Western","South West Detention Center",,2,
"2020-11-11","Toronto","Toronto East Detention Centre",,1,
"2020-11-11","Northern","Algoma Treatment and Remand Centre",,1,
"2020-11-11","Western","Sarnia Jail",,1,
"2020-11-12","Northern","Monteith Correctional Centre",,1,
"2020-11-12","Central","Maplehurst Correctional Complex",1,7,4
"2020-11-12","Central","Ontario Correctional Institute",,89,2
"2020-11-12","Toronto","Toronto South Detention Centre",2,16,8
"2020-11-12","Central","Milton-Vanier Centre For Women",,2,4
"2020-11-12","Western","Elgin-Middlesex Det. Centre",,2,
"2020-11-12","Central","Hamilton Wentworth Det Centre",,1,1
"2020-11-12","Eastern","Central East Correctional Centre",,1,2
"2020-11-12","Central","Niagara Detention Centre",,1,1
"2020-11-12","Western","Central North Correctional Centre",,2,2
"2020-11-12","Northern","Kenora Jail",,2,
"2020-11-12","Western","Ottawa Carleton Detention Centre",,2,1
"2020-11-12","Western","South West Detention Center",,2,
"2020-11-12","Toronto","Toronto East Detention Centre",,1,
"2020-11-12","Northern","Algoma Treatment and Remand Centre",,1,
"2020-11-12","Western","Sarnia Jail",,1,
"2020-11-15","Northern","Monteith Correctional Centre",,1,
"2020-11-15","Central","Maplehurst Correctional Complex",1,8,4
"2020-11-15","Central","Ontario Correctional Institute",,89,2
"2020-11-15","Toronto","Toronto South Detention Centre",2,16,9
"2020-11-15","Central","Milton-Vanier Centre For Women",,2,4
"2020-11-15","Western","Elgin-Middlesex Det. Centre",,2,
"2020-11-15","Central","Hamilton Wentworth Det Centre",,1,1
"2020-11-15","Eastern","Central East Correctional Centre",,1,2
"2020-11-15","Central","Niagara Detention Centre",,1,1
"2020-11-15","Western","Central North Correctional Centre",,2,2
"2020-11-15","Northern","Kenora Jail",,2,
"2020-11-15","Western","Ottawa Carleton Detention Centre",,2,1
"2020-11-15","Western","South West Detention Center",1,2,
"2020-11-15","Toronto","Toronto East Detention Centre",,1,
"2020-11-15","Northern","Algoma Treatment and Remand Centre",,1,
"2020-11-15","Western","Sarnia Jail",,1,
"2020-11-16","Northern","Monteith Correctional Centre",,1,
"2020-11-16","Central","Maplehurst Correctional Complex",2,8,4
"2020-11-16","Central","Ontario Correctional Institute",,89,2
"2020-11-16","Toronto","Toronto South Detention Centre",2,16,9
"2020-11-16","Central","Milton-Vanier Centre For Women",,2,4
"2020-11-16","Western","Elgin-Middlesex Det. Centre",,2,
"2020-11-16","Central","Hamilton Wentworth Det Centre",,1,1
"2020-11-16","Eastern","Central East Correctional Centre",,1,2
"2020-11-16","Central","Niagara Detention Centre",,1,1
"2020-11-16","Western","Central North Correctional Centre",,2,2
"2020-11-16","Northern","Kenora Jail",,2,
"2020-11-16","Western","Ottawa Carleton Detention Centre",,2,1
"2020-11-16","Western","South West Detention Center",1,2,
"2020-11-16","Toronto","Toronto East Detention Centre",,1,
"2020-11-16","Northern","Algoma Treatment and Remand Centre",,1,
"2020-11-16","Western","Sarnia Jail",,1,
"2020-11-17","Northern","Monteith Correctional Centre",,1,
"2020-11-17","Central","Maplehurst Correctional Complex",2,8,4
"2020-11-17","Central","Ontario Correctional Institute",,89,2
"2020-11-17","Toronto","Toronto South Detention Centre",2,16,9
"2020-11-17","Central","Milton-Vanier Centre For Women",,2,4
"2020-11-17","Western","Elgin-Middlesex Det. Centre",,2,
"2020-11-17","Central","Hamilton Wentworth Det Centre",,1,1
"2020-11-17","Eastern","Central East Correctional Centre",,1,2
"2020-11-17","Central","Niagara Detention Centre",,1,1
"2020-11-17","Western","Central North Correctional Centre",,2,2
"2020-11-17","Northern","Kenora Jail",,2,
"2020-11-17","Western","Ottawa Carleton Detention Centre",,2,1
"2020-11-17","Western","South West Detention Center",1,2,
"2020-11-17","Toronto","Toronto East Detention Centre",,1,
"2020-11-17","Northern","Algoma Treatment and Remand Centre",,1,
"2020-11-17","Western","Sarnia Jail",,1,
"2020-11-18","Northern","Monteith Correctional Centre",,1,
"2020-11-18","Central","Maplehurst Correctional Complex",2,8,4
"2020-11-18","Central","Ontario Correctional Institute",,89,2
"2020-11-18","Toronto","Toronto South Detention Centre",1,17,9
"2020-11-18","Central","Milton-Vanier Centre For Women",,2,4
"2020-11-18","Western","Elgin-Middlesex Det. Centre",,2,
"2020-11-18","Central","Hamilton Wentworth Det Centre",,1,1
"2020-11-18","Eastern","Central East Correctional Centre",,1,2
"2020-11-18","Central","Niagara Detention Centre",,1,1
"2020-11-18","Western","Central North Correctional Centre",,2,2
"2020-11-18","Northern","Kenora Jail",,2,
"2020-11-18","Western","Ottawa Carleton Detention Centre",,2,1
"2020-11-18","Western","South West Detention Center",1,2,
"2020-11-18","Toronto","Toronto East Detention Centre",,1,
"2020-11-18","Northern","Algoma Treatment and Remand Centre",,1,
"2020-11-18","Western","Sarnia Jail",,1,
"2020-11-19","Northern","Monteith Correctional Centre",,1,
"2020-11-19","Central","Maplehurst Correctional Complex",,8,6
"2020-11-19","Central","Ontario Correctional Institute",,89,2
"2020-11-19","Toronto","Toronto South Detention Centre",1,17,9
"2020-11-19","Central","Milton-Vanier Centre For Women",,2,4
"2020-11-19","Western","Elgin-Middlesex Det. Centre",,2,
"2020-11-19","Central","Hamilton Wentworth Det Centre",,1,1
"2020-11-19","Eastern","Central East Correctional Centre",,1,2
"2020-11-19","Central","Niagara Detention Centre",,1,1
"2020-11-19","Western","Central North Correctional Centre",,2,2
"2020-11-19","Northern","Kenora Jail",,2,
"2020-11-19","Western","Ottawa Carleton Detention Centre",,2,1
"2020-11-19","Western","South West Detention Center",1,2,
"2020-11-19","Toronto","Toronto East Detention Centre",1,1,
"2020-11-19","Northern","Algoma Treatment and Remand Centre",,1,
"2020-11-19","Western","Sarnia Jail",,1,
"2020-11-22","Northern","Monteith Correctional Centre",,1,
"2020-11-22","Central","Maplehurst Correctional Complex",1,8,5
"2020-11-22","Central","Ontario Correctional Institute",,89,2
"2020-11-22","Toronto","Toronto South Detention Centre",1,17,9
"2020-11-22","Central","Milton-Vanier Centre For Women",1,2,4
"2020-11-22","Western","Elgin-Middlesex Det. Centre",,2,
"2020-11-22","Central","Hamilton Wentworth Det Centre",,1,1
"2020-11-22","Eastern","Central East Correctional Centre",,1,2
"2020-11-22","Central","Niagara Detention Centre",,1,1
"2020-11-22","Western","Central North Correctional Centre",,2,2
"2020-11-22","Northern","Kenora Jail",,2,
"2020-11-22","Western","Ottawa Carleton Detention Centre",,2,1
"2020-11-22","Western","South West Detention Center",,3,
"2020-11-22","Toronto","Toronto East Detention Centre",1,1,
"2020-11-22","Northern","Algoma Treatment and Remand Centre",,1,
"2020-11-22","Western","Sarnia Jail",,1,
"2020-11-23","Northern","Monteith Correctional Centre",,1,
"2020-11-23","Central","Maplehurst Correctional Complex",1,8,5
"2020-11-23","Central","Ontario Correctional Institute",,89,2
"2020-11-23","Toronto","Toronto South Detention Centre",1,17,9
"2020-11-23","Central","Milton-Vanier Centre For Women",,3,4
"2020-11-23","Western","Elgin-Middlesex Det. Centre",,2,
"2020-11-23","Central","Hamilton Wentworth Det Centre",,1,1
"2020-11-23","Eastern","Central East Correctional Centre",,1,2
"2020-11-23","Central","Niagara Detention Centre",,1,1
"2020-11-23","Western","Central North Correctional Centre",,2,2
"2020-11-23","Northern","Kenora Jail",,2,
"2020-11-23","Western","Ottawa Carleton Detention Centre",,2,1
"2020-11-23","Western","South West Detention Center",,3,
"2020-11-23","Toronto","Toronto East Detention Centre",1,1,
"2020-11-23","Northern","Algoma Treatment and Remand Centre",,1,
"2020-11-23","Western","Sarnia Jail",,1,
"2020-11-24","Northern","Monteith Correctional Centre",,1,
"2020-11-24","Central","Maplehurst Correctional Complex",,9,5
"2020-11-24","Central","Ontario Correctional Institute",,89,2
"2020-11-24","Toronto","Toronto South Detention Centre",1,17,9
"2020-11-24","Central","Milton-Vanier Centre For Women",,3,4
"2020-11-24","Western","Elgin-Middlesex Det. Centre",,2,
"2020-11-24","Central","Hamilton Wentworth Det Centre",,1,1
"2020-11-24","Eastern","Central East Correctional Centre",,1,2
"2020-11-24","Central","Niagara Detention Centre",,1,1
"2020-11-24","Western","Central North Correctional Centre",,2,2
"2020-11-24","Northern","Kenora Jail",,2,
"2020-11-24","Western","Ottawa Carleton Detention Centre",,2,1
"2020-11-24","Western","South West Detention Center",,3,
"2020-11-24","Toronto","Toronto East Detention Centre",1,1,
"2020-11-24","Northern","Algoma Treatment and Remand Centre",,1,
"2020-11-24","Western","Sarnia Jail",,1,
"2020-11-25","Northern","Monteith Correctional Centre",,1,
"2020-11-25","Central","Maplehurst Correctional Complex",1,9,5
"2020-11-25","Central","Ontario Correctional Institute",,89,2
"2020-11-25","Toronto","Toronto South Detention Centre",1,17,9
"2020-11-25","Central","Milton-Vanier Centre For Women",,3,4
"2020-11-25","Western","Elgin-Middlesex Det. Centre",,2,
"2020-11-25","Central","Hamilton Wentworth Det Centre",,1,1
"2020-11-25","Eastern","Central East Correctional Centre",,1,2
"2020-11-25","Central","Niagara Detention Centre",,1,1
"2020-11-25","Western","Central North Correctional Centre",,2,2
"2020-11-25","Northern","Kenora Jail",,2,
"2020-11-25","Western","Ottawa Carleton Detention Centre",,2,1
"2020-11-25","Western","South West Detention Center",,3,
"2020-11-25","Toronto","Toronto East Detention Centre",2,1,
"2020-11-25","Northern","Algoma Treatment and Remand Centre",,1,
"2020-11-25","Western","Sarnia Jail",,1,
"2020-11-26","Northern","Monteith Correctional Centre",,1,
"2020-11-26","Central","Maplehurst Correctional Complex",1,9,5
"2020-11-26","Central","Ontario Correctional Institute",,89,2
"2020-11-26","Toronto","Toronto South Detention Centre",1,17,9
"2020-11-26","Central","Milton-Vanier Centre For Women",,3,4
"2020-11-26","Western","Elgin-Middlesex Det. Centre",,2,
"2020-11-26","Central","Hamilton Wentworth Det Centre",,1,1
"2020-11-26","Eastern","Central East Correctional Centre",,1,2
"2020-11-26","Central","Niagara Detention Centre",,1,1
"2020-11-26","Western","Central North Correctional Centre",,2,2
"2020-11-26","Northern","Kenora Jail",,2,
"2020-11-26","Western","Ottawa Carleton Detention Centre",1,2,1
"2020-11-26","Western","South West Detention Center",,3,
"2020-11-26","Toronto","Toronto East Detention Centre",2,1,
"2020-11-26","Northern","Algoma Treatment and Remand Centre",,1,
"2020-11-26","Western","Sarnia Jail",,1,
